标题,排名,播放量,up主,分数,id
人类迷惑行为 029,60,"
              53.9万
            ","
                米开朗机罗
              ",732246,493551742
手工锅刷,61,"
              45.4万
            ","
                创手艺
              ",726129,1330147763
没得选，我们之中必须走一个！,62,"
              228.2万
            ","
                在下哲别
              ",723372,416128940
《因为一个热评而我做了视频这件事》,63,"
              224.5万
            ","
                吃花椒的喵酱暗恋我
              ",712239,22715248
以前的年轻人VS现在的年轻人,64,"
              91.9万
            ","
                大瑶同学remix
              ",709903,639923249
《社 交 牛 逼 症》,65,"
              80.6万
            ","
                damon12121
              ",705321,24712675
爱国双面人，请你们圆润地离开！,66,"
              41.6万
            ","
                Sisi曾西西西
              ",699235,28386897
我花了二十二年时间毁了自己的脸，还想当舞蹈明星，QG？全给，全白给。,67,"
              50.6万
            ","
                崇崇虫
              ",696711,286543421
没 经 费 了,68,"
              530.7万
            ","
                康师傅红烧甜不辣
              ",695488,32837037
【反复折磨骗子】实战教学《上》,69,"
              43.3万
            ","
                TOM表哥
              ",693023,121225592
当我用女声在鬼屋扮演黑无常,70,"
              42.2万
            ","
                一只王霸天
              ",689382,353019540
让我们一起期待未来吧！,71,"
              35.6万
            ","
                古呀老师
              ",669764,543931452
闷在家，最重要是开心,72,"
              40.4万
            ","
                摸鱼能手邓大头
              ",665039,457702786
东奥闭幕式再现“阴间”表演，被嘲日本之耻！日本网友：北京奥运会表演无人能超！印度苦等百年终得奥运田径首金，选手获惊人奖励！【速报吐槽】,73,"
              37.8万
            ","
                空格魂
              ",655761,16576379
在纸巾上写字？只要我写得够快洇墨就追不上我！,74,"
              163.3万
            ","
                祁么么mo
              ",655090,9728698
这位更是重量级是什么梗【梗指南】,75,"
              47.9万
            ","
                梗指南
              ",648032,94510621
请问B站的厕所在哪里啊啊啊啊！！！,76,"
              32.3万
            ","
                NBzhuoc大
              ",644301,152389373
模仿不同年龄段人拍短视频！没错我就是装在你家的监控器！,77,"
              46.5万
            ","
                sky盖盖_
              ",643299,472696991
当我们活在这个快节奏的时代,78,"
              34万
            ","
                是老胡没错
              ",623148,31012715
第二次来乌克兰的网吧，,79,"
              63.3万
            ","
                灵灵通阿钢
              ",613932,606434743
有 病 的 知 识,80,"
              40.2万
            ","
                二三哥哥鸭
              ",602714,266017110
当你和朋友被乒乒乓乓洗脑后……,81,"
              75.2万
            ","
                芳芸ClOUD
              ",600970,234334903
我看不懂，但是我大受震撼！,82,"
              401万
            ","
                呔园长
              ",588641,390466720
这保安要失业,83,"
              111.1万
            ","
                吴彦忠
              ",588381,96213228
【瓜瓜是瓜】 吸铁石手机,84,"
              21.9万
            ","
                会吃饭的欢乐普信男
              ",584019,249532463
姚明回国隔离，防疫人员消毒画面仿佛“蓝精灵”，网友直呼太可爱,85,"
              101.7万
            ","
                快看视频资讯
              ",572691,1981347907
【脱口秀】聊聊月经,86,"
              41.3万
            ","
                Norah脱口秀
              ",569926,29404012
用100把锁把室友的手机锁起来，他的样子开心极啦！！,87,"
              92.7万
            ","
                小灰会飞_
              ",569253,1921057735
好不容易相个亲，都被妈沫给搅黄了,88,"
              43.9万
            ","
                河马君
              ",560573,2079933284
学到一新招,89,"
              67.8万
            ","
                白夜喵-
              ",559850,1154329955
言 出 必 行 ！,90,"
              26.8万
            ","
                王者荣耀北笙
              ",557145,171356359
广东人眼里的广西人是不是都这样？,91,"
              156.4万
            ","
                粤知一二
              ",555649,95515699
香蕉君参与复仇者联盟珍贵录像,92,"
              75.2万
            ","
                空枪套白给
              ",554545,2003141744
心态崩溃的瞬间,93,"
              146万
            ","
                杜海皇
              ",553720,178029850
用了一个方法，10天时间就改掉了自己长期 晚睡晚起！熬夜！失眠的坏习惯  | 早睡早起不要太舒爽啊！！,94,"
              31.7万
            ","
                北狮重生记
              ",546292,41155496
想刀一个人都眼神是藏不住的,95,"
              129.7万
            ","
                沙雕研究协会会长
              ",543543,84608345
我是真没想到这个,96,"
              49.5万
            ","
                彬彬找乐子
              ",542078,630349613
当妈妈讲不过你时,97,"
              34.4万
            ","
                战辉
              ",540668,17239951
大仙直播停电，转颜值区连麦上小时榜榜一,98,"
              43.7万
            ","
                蓬莱千羽
              ",540357,337442680
没有十年脑血栓问不出这些问题……,99,"
              40.8万
            ","
                狗子与我
              ",529230,383121014
女性一定要去做妇科体检,100,"
              124.5万
            ","
                雅酱冲鸭
              ",528748,101062383
