标题,排名,播放量,up主,分数,id
“死亡怒指！隔着屏幕都能感受到中国人的愤怒”,1,"
              409.6万
            ","
                种花知兴衰
              ",2993504,12598849
所以说男人别碰乙女游戏,2,"
              157.8万
            ","
                朔生聆人
              ",2192750,1702023379
我终于长胡子啦！,3,"
              100.6万
            ","
                某幻君
              ",2061168,1577804
社死不存在的反正没人看,4,"
              624.6万
            ","
                李瑚琳
              ",2036118,513626960
饮茶哥：喂！三点几咧饮茶先啦！高清原版来啦,5,"
              151万
            ","
                饮茶哥Elvis
              ",2012811,1915085558
老爸评测提醒！这种产品正在伤害孩子们！【老爸评测】,6,"
              136万
            ","
                老爸评测
              ",1886524,347667464
华农兄弟：租了块荒地，准备养点东西，带大家看一下,7,"
              154.5万
            ","
                华农兄弟
              ",1832485,250858633
张全蛋进军教育行业，课外培训机构迎来新的机遇！,8,"
              213.7万
            ","
                张全蛋
              ",1831443,10360627
人类高质量up主,9,"
              299.7万
            ","
                楼上的老张
              ",1792647,28642491
萨日朗？黑社会？你们是不是对“义气”有所误解？,10,"
              203.4万
            ","
                大漠叔叔
              ",1692086,67141499
乒乓球·叶问,11,"
              297.1万
            ","
                小芃路子野
              ",1639672,57214324
翻译翻译，什么叫国际巨片！,12,"
              115.4万
            ","
                导演小策
              ",1559790,81824112
四川土味疫苗广告？我当场哈哈哈哈哈,13,"
              131.6万
            ","
                川观新闻
              ",1518485,497987732
“没有你们我到死也住不上这样的房子”盲人母亲感谢哔哩网友把人听哭了。,14,"
              72.7万
            ","
                盲人母亲曹世美
              ",1486430,438345816
他竟然开始倒背圆周率.......,15,"
              82.7万
            ","
                柠檬派奇幻漂流
              ",1456982,20892823
挑战在太阳下爆晒，测试12种防晒霜，看看哪种最好用！,16,"
              138.6万
            ","
                大胡子魏
              ",1448590,438880209
你怎么看待七夕不给男生送礼物的女生,17,"
              121.5万
            ","
                小王子博哥
              ",1367301,486425008
这该死的胜负欲（doge,18,"
              149.2万
            ","
                歪国那些事儿
              ",1353296,524089885
来自老师的压迫感,19,"
              85万
            ","
                自来卷三木
              ",1348038,474702359
当时我正在睡觉！老师突然上门检查作业,20,"
              160.1万
            ","
                乡村教师日记
              ",1330217,454143774
看到最后，保证你升职加薪（三）,21,"
              110.3万
            ","
                狈总
              ",1310227,283036476
有钱有审美的人能把房子装修成什么样？进去一看我惊呆了,22,"
              67.6万
            ","
                vivi可爱多
              ",1254039,16206007
【真人GTA】要 不 要 吧,23,"
              102万
            ","
                充气沙盒
              ",1148279,668639353
在人人戴花的村庄 我找到了美的定义 无关外貌与年龄,24,"
              46.1万
            ","
                皮皮在蓝色星球
              ",1143193,1415383726
“ 这是我见过最拽的一届中国队奥运冠军”,25,"
              190.4万
            ","
                哲哲哲同学
              ",1127544,8495180
苏炳添感觉跑不过我女同学…,26,"
              87.6万
            ","
                愚愚桑
              ",1079455,386579215
B站捐给河南灾区的2000万，都用到哪儿了？,27,"
              108.3万
            ","
                李旎CarlyLee
              ",1059247,9099524
雪王采购柠檬,28,"
              63.4万
            ","
                蜜雪冰城官方站
              ",1040150,48084221
如果真的要死一个，让我先吧-2021-8-7 20:05:16,29,"
              134.4万
            ","
                小苦瓜很甜
              ",1033554,1178148487
来看看我小学qq空间和以前的照片,30,"
              59.5万
            ","
                張忠興
              ",1028131,2069605488
【迷瞪】拆个4600块钱的鞋柜，这样的家具可不兴买啊,31,"
              56.8万
            ","
                Mr迷瞪
              ",1027885,304578055
【卢本伟】生日快乐！,32,"
              57.2万
            ","
                阿飞vlog记录开哥
              ",1023464,551271353
危！把女友手机锁住24小时！她直接求饶！,33,"
              82万
            ","
                盖里老哥
              ",984211,285571498
陪你看日落的人，比日落本身更温柔。,34,"
              38.8万
            ","
                锦书致南辞
              ",978142,90142376
如何从一只暴躁母鸡身下取出鸡蛋,35,"
              168.7万
            ","
                Always-Kid
              ",976993,316968826
这东西以后跟我算是绑上了啊。。。,36,"
              192.2万
            ","
                呆毛小鹏
              ",957022,1180080443
听音挑战！谁是地表最强耳王？,37,"
              68.3万
            ","
                福乐小哥
              ",956431,92568184
如何巧妙拒绝他人,38,"
              74.3万
            ","
                紫菜蛋花兔兔
              ",948771,1523475
雷军：小米将回馈3.7亿元，感恩初代米粉！,39,"
              94.7万
            ","
                雷军
              ",945367,646730844
假装韩国小伙去买二手车，会不会被坑惨？！,40,"
              64.9万
            ","
                波桑吃遍世界
              ",937281,22141287
不花大钱也可以送给女朋友的七夕节礼物！有手就行的可爱猪猪盒子教程来啦！！,41,"
              49.6万
            ","
                小梁喜欢美人鱼
              ",924523,47140302
我居然和高中同学在一起八周年了｜18岁你喜欢的那个人，现在怎么样了｜爱情马拉松,42,"
              54.4万
            ","
                自顾自少女呀
              ",919228,137982818
黄嘉欣：如果我没猜错的话，你们把我忘了是吧,43,"
              90.7万
            ","
                真子日记
              ",918713,1155574439
当我送了男朋友一个变身器……,44,"
              55.1万
            ","
                宝剑嫂
              ",910475,113362335
从此可以“横”着走路了,45,"
              85万
            ","
                小镇老金
              ",902189,390822089
Van Darkholme 实现100万粉丝的心愿 感谢大家对我的支持!,46,"
              36.8万
            ","
                vansamaofficial
              ",878298,477631979
高甜慎点！这是我看过最好的爱情…,47,"
              72.3万
            ","
                哔哩哔哩创作中心
              ",869028,37090048
一首歌吐槽完“东京奥运”！！！,48,"
              58.2万
            ","
                萌新二次方
              ",865498,125776535
宁可玉碎不能瓦全,49,"
              77.6万
            ","
                黑旗团队
              ",856840,111095065
其实我也可以来这种～,50,"
              76万
            ","
                田一名Sir
              ",847541,477676711
用上万颗钢钉，硬刚出了一幅画,51,"
              126.4万
            ","
                画渣不渣-HZ
              ",838617,517184570
papi酱的周一放送——办公室奥运会2020正式开幕，请打工健儿们入场！,52,"
              131.2万
            ","
                papi酱
              ",829271,1532165
英语听力原来是他配的音，弟兄们，揍他！（未完待续）,53,"
              140.6万
            ","
                -佚名001
              ",821547,643109101
全网首发 4K修复《2008年北京奥运会开幕式》文艺演出及点火仪式,54,"
              24.8万
            ","
                期末没作业
              ",821419,96635202
自信哦哦VS直女嗯嗯,55,"
              60.8万
            ","
                轩仔贼giao
              ",790835,1908567413
点开前没想到这么好笑,56,"
              134.8万
            ","
                快乐源泉bot
              ",790673,3107068
阿 嫲 大 战 杰 哥 2,57,"
              35.2万
            ","
                梦夕哟
              ",789954,398456677
实习？拿来吧你,58,"
              63.9万
            ","
                迷人的大反派喔
              ",788815,383702260
汽笛人的家族之战,59,"
              53.8万
            ","
                亚巴拉辛巴
              ",782977,13558933
